pH,Digestates,Feedstock,DM,OM,TOC,TOC_TN,TN,NH4_N,NH4_TN
7.6,4,3,28,597,331.6,2.7,123,102.5,83.3
7.7,4,2,28,747,415,4.1,100,82.4,82.4
7.5,4,3,28,678,376.6,2.4,160,126.6,79.1
7.8,4,3,28,662,367.7,2,184,138.1,75.1
7.8,4,2,28,651,361.6,1.6,220,162.3,73.8
7.4,4,3,28,691,383.9,3.2,120,85.1,70.9
8.2,4,3,28,471,261.6,1.1,231,162.3,70.3
8,4,3,28,518,287.7,1.5,189,132.4,70.1
8.2,4,2,28,747,415,2,204,138.4,67.8
7.8,4,2,28,602,334.4,1.8,181,119.8,66.2
7.8,4,2,28,602,334.4,1.8,181,119.8,66.2
7.6,4,3,28,657,365,2.8,132,86.7,65.7
7.9,4,2,28,675,375,1.9,200,126.2,63.1
7.8,4,1,28,771,428.3,5.9,73,44.1,60.4
8.1,4,3,28,669,371.6,1.5,241,139,57.7
7.8,4,2,28,704,391.1,2.7,145,82,56.6
7.9,4,1,28,743,412.7,5.2,79,42,53.2
7.4,4,2,28,709,393.8,3.4,116,51.2,44.1
8.1,4,3,27,536,297.7,1.8,170,157.4,92.6
8,4,3,27,524,291.1,1.6,178,162.7,91.4
7.7,4,3,27,597,331.6,2.3,145,128.2,88.4
8.1,4,3,27,554,307.7,2.2,139,114.5,82.4
7.6,4,3,27,674,374.4,2.5,150,117.8,78.5
8,4,3,27,500,277.8,1.7,167,124,74.3
7.8,4,3,27,678,376.6,2.1,181,133.9,74
7.7,4,3,27,676,375.5,2.5,151,111.5,73.8
8,5,2,27,657,365,1.7,215,156.3,72.7
8.2,4,3,27,548,304.4,1.6,193,135.3,70.1
7.5,4,3,27,706,392.2,2.3,174,117.1,67.3
7.7,4,2,27,645,358.3,1.6,230,154.3,67.1
7.7,4,3,27,718,398.8,2.9,137,90.7,66.2
7.8,5,2,27,549,305,12.1,25.2,16.6,65.9
7.4,4,3,27,702,390,3,130,83.5,64.2
7.7,4,2,27,675,375,3.8,99.3,61.7,62.1
7.6,4,2,27,675,375,2.6,143,71.6,50.1
8,4,3,26.5,451,250.5,1.2,207,178.9,86.4
